AUDIO_FILE,REACTION_TIME,FREQUENCY_R,ID,BLOCK_4,ORDER,LIST,CONDITION,ITEM,PICTURE,WORD_FRENCH,RESPONSE,CATEGORY,NEW_PIC,TYPE_OF_ERROR,NO_RESPONSE,SEM1,ERROR,CATEGORY_RESPONSE
sub24_PICTURE_20.wav,1221.5,LOW,sub24,3,122,6,Category,381,PICTURE_20,squelette,squelette,parties du corps,0,,0,0,0,0
sub14_PICTURE_768.wav,1273.1,LOW,sub14,3,122,5,Basic,352,PICTURE_768,ruban,noed,accessoires,1,SYN,0,0,0,0
sub03_PICTURE_167.wav,1339.4,LOW,sub03,3,122,2,Category,213,PICTURE_167,lacet,lacet,accessoires,0,,0,0,0,0
sub08_PICTURE_363.wav,1387.3,LOW,sub08,3,122,3,Category,437,PICTURE_363,ventilateur,ventilateur,appareilles électronique,0,,0,0,0,0
sub07_PICTURE_167.wav,1571.6,LOW,sub07,3,122,2,Category,213,PICTURE_167,lacet,lacet,accessoires,0,,0,0,0,0
sub10_PICTURE_363.wav,1630.5,LOW,sub10,3,122,3,Category,437,PICTURE_363,ventilateur,ventilateur,appareilles électronique,0,,0,0,0,0
sub05_PICTURE_167.wav,1741.1,LOW,sub05,3,122,2,Category,213,PICTURE_167,lacet,lacet,accessoires,0,,0,0,0,0
sub17_PICTURE_20.wav,1741.1,LOW,sub17,3,122,6,Category,381,PICTURE_20,squelette,squelette,parties du corps,0,,0,0,0,0
sub16_PICTURE_167.wav,1844.2,LOW,sub16,3,122,2,Category,213,PICTURE_167,lacet,lacet,accessoires,0,,0,0,0,0
sub06_PICTURE_802.wav,2035,LOW,sub06,3,122,1,Basic,406,PICTURE_802,thermos,carafe,ustensiles de cuisine,1,SEM1,0,1,1,0
sub01_PICTURE_802.wav,2035.9,LOW,sub01,3,122,1,Basic,406,PICTURE_802,thermos,thermos,ustensiles de cuisine,1,,0,0,0,0
sub04_PICTURE_802.wav,2179.6,LOW,sub04,3,122,1,Basic,406,PICTURE_802,thermos,mug,ustensiles de cuisine,1,SEM1,0,1,1,0
sub13_PICTURE_768.wav,733.3,HIGH,sub13,3,122,5,Basic,352,PICTURE_768,ruban,ruban,accessoires,1,,0,0,0,0
sub23_PICTURE_802.wav,,LOW,sub23,3,122,1,Basic,406,PICTURE_802,thermos,no_response,ustensiles de cuisine,1,NONE,1,0,1,0
sub13_PICTURE_95.wav,762.8,HIGH,sub13,3,123,5,Basic,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub14_PICTURE_95.wav,921.2,HIGH,sub14,3,123,5,Basic,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub11_PICTURE_95.wav,1031.7,HIGH,sub11,3,123,5,Basic,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub12_PICTURE_95.wav,1164.4,HIGH,sub12,3,123,5,Basic,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub02_PICTURE_452.wav,851.2,HIGH,sub02,3,123,2,Category,254,PICTURE_452,montre,montre,accessoires,0,,0,0,0,0
sub16_PICTURE_452.wav,880.7,HIGH,sub16,3,123,2,Category,254,PICTURE_452,montre,montre,accessoires,0,,0,0,0,0
sub03_PICTURE_452.wav,888,HIGH,sub03,3,123,2,Category,254,PICTURE_452,montre,montre,accessoires,0,,0,0,0,0
sub07_PICTURE_452.wav,1105.4,HIGH,sub07,3,123,2,Category,254,PICTURE_452,montre,montre,accessoires,0,,0,0,0,0
sub05_PICTURE_452.wav,1411.3,HIGH,sub05,3,123,2,Category,254,PICTURE_452,montre,montre,accessoires,0,,0,0,0,0
sub18_PICTURE_106.wav,1144.1,LOW,sub18,3,123,6,Category,366,PICTURE_106,serre,serre,constructions,0,,0,0,0,0
sub21_PICTURE_417.wav,1258.4,LOW,sub21,3,123,4,Category,421,PICTURE_417,trombone,instrument,instruments de musique,0,CAT,0,0,1,1
sub23_PICTURE_788.wav,1324.1,LOW,sub23,3,123,1,Basic,285,PICTURE_788,parabole,parabole,appareilles électronique,1,,0,0,0,0
sub19_PICTURE_106.wav,1523.7,LOW,sub19,3,123,6,Category,366,PICTURE_106,serre,serre,constructions,0,,0,0,0,0
